ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
APCDL_HUMAN	APC down-regulated 1 like(APCDD1L)	Homo sapiens					GO:0016021~integral component of membrane,						SM01352:SM01352,	Complete proteome,Glycoprotein,Membrane,Polymorphism,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:Protein APCDD1-like,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,transmembrane region,
AT1B1_HUMAN	ATPase Na+/K+ transporting subunit beta 1(ATP1B1)	Homo sapiens				GO:0001666~response to hypoxia,GO:0006813~potassium ion transport,GO:0006814~sodium ion transport,GO:0006874~cellular calcium ion homeostasis,GO:0006883~cellular sodium ion homeostasis,GO:0007155~cell adhesion,GO:0010107~potassium ion import,GO:0010248~establishment or maintenance of transmembrane electrochemical gradient,GO:0010468~regulation of gene expression,GO:0010882~regulation of cardiac muscle contraction by calcium ion signaling,GO:0030007~cellular potassium ion homeostasis,GO:0032781~positive regulation of ATPase activity,GO:0034220~ion transmembrane transport,GO:0036376~sodium ion export from cell,GO:0044861~protein transport into plasma membrane raft,GO:0046034~ATP metabolic process,GO:0050821~protein stabilization,GO:0050900~leukocyte migration,GO:0055119~relaxation of cardiac muscle,GO:0060048~cardiac muscle contraction,GO:0072659~protein localization to plasma membrane,GO:0086009~membrane repolarization,GO:0086013~membrane repolarization during cardiac muscle cell action potential,GO:0086064~cell communication by electrical coupling involved in cardiac conduction,GO:0090662~ATP hydrolysis coupled transmembrane transport,GO:1901018~positive regulation of potassium ion transmembrane transporter activity,GO:1903278~positive regulation of sodium ion export from cell,GO:1903281~positive regulation of calcium:sodium antiporter activity,GO:1903288~positive regulation of potassium ion import,GO:1903779~regulation of cardiac conduction,GO:1990573~potassium ion import across plasma membrane,	GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0005890~sodium:potassium-exchanging ATPase complex,GO:0005901~caveola,GO:0014704~intercalated disc,GO:0016020~membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0042383~sarcolemma,GO:0043209~myelin sheath,GO:0070062~extracellular exosome,GO:1903561~extracellular vesicle,	GO:0001671~ATPase activator activity,GO:0005391~sodium:potassium-exchanging ATPase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008022~protein C-terminus binding,GO:0008144~drug binding,GO:0016887~ATPase activity,GO:0023026~MHC class II protein complex binding,GO:0030955~potassium ion binding,GO:0031402~sodium ion binding,GO:0051117~ATPase binding,	IPR000402:Sodium/potassium-transporting ATPase subunit beta,IPR015565:Sodium/potassium-transporting ATPase subunit beta, chordates,	hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04911:Insulin secretion,hsa04918:Thyroid hormone synthesis,hsa04919:Thyroid hormone signaling pathway,hsa04960:Aldosterone-regulated sodium reabsorption,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa04964:Proximal tubule bicarbonate reclamation,hsa04970:Salivary secretion,hsa04971:Gastric acid secretion,hsa04972:Pancreatic secretion,hsa04973:Carbohydrate digestion and absorption,hsa04974:Protein digestion and absorption,hsa04976:Bile secretion,hsa04978:Mineral absorption,	145500~Blood pressure regulation QTL,			Alternative splicing,Cell adhesion,Cell membrane,Complete proteome,Disulfide bond,Glycoprotein,Ion transport,Membrane,Phosphoprotein,Potassium,Potassium transport,Proteomics identification,Reference proteome,Signal-anchor,Sodium,Sodium transport,Sodium/potassium transport,Transmembrane,Transmembrane helix,Transport,	chain:Sodium/potassium-transporting ATPase subunit beta-1,disulfide bond,glycosylation site:N-linked (GlcNAc...),modified residue,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
C9JLA2_HUMAN	BTG anti-proliferation factor 3(BTG3)	Homo sapiens				GO:0008285~negative regulation of cell proliferation,GO:0045930~negative regulation of mitotic cell cycle,	GO:0005737~cytoplasm,	GO:0005515~protein binding,	IPR002087:Anti-proliferative protein,	hsa03018:RNA degradation,			SM00099:btg1,	Alternative splicing,Complete proteome,Proteomics identification,Reference proteome,	chain:Protein BTG3,compositionally biased region:Poly-Ser,sequence conflict,splice variant,
CCL20_HUMAN	C-C motif chemokine ligand 20(CCL20)	Homo sapiens	109.Chemokine_families,			GO:0002548~monocyte chemotaxis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0030593~neutrophil chemotaxis,GO:0035584~calcium-mediated signaling using intracellular calcium source,GO:0042060~wound healing,GO:0042742~defense response to bacterium,GO:0043547~positive regulation of GTPase activity,GO:0048247~lymphocyte chemotaxis,GO:0050726~positive regulation of interleukin-1 alpha biosynthetic process,GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071222~cellular response to lipopolysaccharide,GO:0071223~cellular response to lipoteichoic acid,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0072678~T cell migration,GO:0072679~thymocyte migration,GO:2000406~positive regulation of T cell migration,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,	GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0031731~CCR6 chemokine receptor binding,GO:0048020~CCR chemokine receptor binding,	IPR000827:CC chemokine, conserved site,IPR001811:Chemokine interleukin-8-like domain,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04668:TNF signaling pathway,hsa05323:Rheumatoid arthritis,			SM00199:SCY,	3D-structure,Alternative splicing,Antibiotic,Antimicrobial,Chemotaxis,Complete proteome,Cytokine,Direct protein sequencing,Disulfide bond,Inflammatory response,Polymorphism,Reference proteome,Secreted,Signal,	chain:C-C motif chemokine 20,chain:CCL20(1-64),chain:CCL20(1-67),chain:CCL20(2-70),disulfide bond,helix,sequence variant,signal peptide,splice variant,strand,turn,
GROA_HUMAN	C-X-C motif chemokine ligand 1(CXCL1)	Homo sapiens				GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007399~nervous system development,GO:0008283~cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0030036~actin cytoskeleton organization,GO:0032496~response to lipopolysaccharide,GO:0035556~intracellular signal transduction,GO:0043085~positive regulation of catalytic activity,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0090023~positive regulation of neutrophil chemotaxis,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,	GO:0005102~receptor binding,GO:0008009~chemokine activity,GO:0008047~enzyme activator activity,GO:0008083~growth factor activity,GO:0045236~CXCR chemokine receptor binding,	IPR001089:CXC chemokine,IPR001811:Chemokine interleukin-8-like domain,IPR018048:CXC chemokine, conserved site,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04621:NOD-like receptor signaling pathway,hsa04668:TNF signaling pathway,hsa05132:Salmonella infection,hsa05134:Legionellosis,			SM00199:SCY,	3D-structure,Complete proteome,Cytokine,Direct protein sequencing,Disulfide bond,Growth factor,Inflammatory response,Reference proteome,Secreted,Signal,	chain:GRO-alpha(4-73),chain:GRO-alpha(5-73),chain:GRO-alpha(6-73),chain:Growth-regulated alpha protein,disulfide bond,helix,signal peptide,strand,turn,
CXCL5_HUMAN	C-X-C motif chemokine ligand 5(CXCL5)	Homo sapiens				GO:0002446~neutrophil mediated immunity,GO:0002690~positive regulation of leukocyte chemotaxis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0032496~response to lipopolysaccharide,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,	GO:0005576~extracellular region,GO:0005615~extracellular space,	GO:0008009~chemokine activity,GO:0045236~CXCR chemokine receptor binding,	IPR001089:CXC chemokine,IPR001811:Chemokine interleukin-8-like domain,IPR018048:CXC chemokine, conserved site,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa05133:Pertussis,hsa05323:Rheumatoid arthritis,			SM00199:SCY,	3D-structure,Chemotaxis,Complete proteome,Cytokine,Direct protein sequencing,Disulfide bond,Reference proteome,Secreted,Signal,	chain:C-X-C motif chemokine 5,chain:ENA-78(8-78),chain:ENA-78(9-78),disulfide bond,signal peptide,site:Cleavage; by cathepsin G,
IL8_HUMAN	C-X-C motif chemokine ligand 8(CXCL8)	Homo sapiens	109.Chemokine_families,18.Cytokine_astocytes,22.Cytokine-chemokine_CNS,58.(CD40L)_immnosurveillance,7.IL17_hematopoesis,	h_cytokinePathway:Cytokine Network,h_freePathway:Free Radical Induced Apoptosis,h_granulocytesPathway:Adhesion and Diapedesis of Granulocytes,h_il17Pathway:IL 17 Signaling Pathway,h_inflamPathway:Cytokines and Inflammatory Response,h_LairPathway:Cells and Molecules involved in local acute inflammatory response,h_lymPathway:Adhesion and Diapedesis of Lymphocytes,h_nthiPathway:NFkB activation by Nontypeable Hemophilus influenzae,h_pepiPathway:Proepithelin Conversion to Epithelin and Wound Repair Control,h_stemPathway:Regulation of hematopoiesis by cytokines,		GO:0001525~angiogenesis,GO:0002237~response to molecule of bacterial origin,GO:0006928~movement of cell or subcellular component,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007050~cell cycle arrest,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0008285~negative regulation of cell proliferation,GO:0019722~calcium-mediated signaling,GO:0030155~regulation of cell adhesion,GO:0030593~neutrophil chemotaxis,GO:0031623~receptor internalization,GO:0034976~response to endoplasmic reticulum stress,GO:0035556~intracellular signal transduction,GO:0036499~PERK-mediated unfolded protein response,GO:0042119~neutrophil activation,GO:0044344~cellular response to fibroblast growth factor stimulus,GO:0045091~regulation of single stranded viral RNA replication via double stranded DNA intermediate,GO:0045744~negative regulation of G-protein coupled receptor protein signaling pathway,GO:0045766~positive regulation of angiogenesis,GO:0048566~embryonic digestive tract development,GO:0050930~induction of positive chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0071222~cellular response to lipopolysaccharide,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0090023~positive regulation of neutrophil chemotaxis,GO:2000535~regulation of entry of bacterium into host cell,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,	GO:0005153~interleukin-8 receptor binding,GO:0005515~protein binding,GO:0008009~chemokine activity,	IPR001089:CXC chemokine,IPR001811:Chemokine interleukin-8-like domain,IPR018048:CXC chemokine, conserved site,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04064:NF-kappa B signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04621:NOD-like receptor signaling pathway,hsa04622:RIG-I-like receptor signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05131:Shigellosis,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05134:Legionellosis,hsa05142:Chagas disease (American trypanosomiasis),hsa05144:Malaria,hsa05146:Amoebiasis,hsa05160:Hepatitis C,hsa05161:Hepatitis B,hsa05164:Influenza A,hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05219:Bladder cancer,hsa05323:Rheumatoid arthritis,			SM00199:SCY,	3D-structure,Chemotaxis,Citrullination,Complete proteome,Cytokine,Direct protein sequencing,Disulfide bond,Inflammatory response,Proteomics identification,Reference proteome,Secreted,Signal,	chain:IL-8(5-77),chain:IL-8(6-77),chain:IL-8(7-77),chain:IL-8(8-77),chain:IL-8(9-77),chain:Interleukin-8,chain:MDNCF-a,disulfide bond,helix,sequence conflict,signal peptide,site:Cleavage; by MMP9,site:Cleavage; by thrombin,splice variant,strand,
CEBPB_HUMAN	CCAAT/enhancer binding protein beta(CEBPB)	Homo sapiens		h_il6Pathway:IL 6 signaling pathway,		GO:0001541~ovarian follicle development,GO:0001892~embryonic placenta development,GO:0002432~granuloma formation,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0006953~acute-phase response,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007613~memory,GO:0030182~neuron differentiation,GO:0032753~positive regulation of interleukin-4 production,GO:0033598~mammary gland epithelial cell proliferation,GO:0034976~response to endoplasmic reticulum stress,GO:0035711~T-helper 1 cell activation,GO:0042130~negative regulation of T cell proliferation,GO:0042742~defense response to bacterium,GO:0043524~negative regulation of neuron apoptotic process,GO:0045408~regulation of interleukin-6 biosynthetic process,GO:0045600~positive regulation of fat cell differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045670~regulation of osteoclast differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050873~brown fat cell differentiation,GO:0060644~mammary gland epithelial cell differentiation,GO:0060850~regulation of transcription involved in cell fate commitment,GO:0070059~intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,GO:0071222~cellular response to lipopolysaccharide,GO:0071230~cellular response to amino acid stimulus,GO:0071347~cellular response to interleukin-1,GO:0071407~cellular response to organic cyclic compound,GO:0072574~hepatocyte proliferation,GO:0097421~liver regeneration,GO:1990440~positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,	GO:0000779~condensed chromosome, centromeric region,GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016363~nuclear matrix,GO:0036488~CHOP-C/EBP complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000979~RNA polymerase II core promoter sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003705~transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0019900~kinase binding,GO:0035035~histone acetyltransferase binding,GO:0035259~glucocorticoid receptor binding,GO:0042803~protein homodimerization activity,GO:0042826~histone deacetylase binding,GO:0043565~sequence-specific DNA binding,GO:0044389~ubiquitin-like protein ligase binding,GO:0046982~protein heterodimerization activity,	IPR004827:Basic-leucine zipper domain,IPR016468:CCAAT/enhancer-binding,	hsa04668:TNF signaling pathway,hsa05152:Tuberculosis,hsa05202:Transcriptional misregulation in cancer,		PIRSF005879:CCAAT/enhancer-binding protein,	SM00338:BRLZ,	3D-structure,Acetylation,Activator,Alternative initiation,Coiled coil,Complete proteome,Cytoplasm,Differentiation,DNA-binding,Glycoprotein,Isopeptide bond,Methylation,Nucleus,Phosphoprotein,Polymorphism,Reference proteome,Transcription,Transcription regulation,Ubl conjugation,	chain:CCAAT/enhancer-binding protein beta,compositionally biased region:Poly-Pro,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO),DNA-binding region:Basic motif,domain:Leucine-zipper,helix,modified residue,region of interest:Required for Lys-174 sumoylation,sequence conflict,sequence variant,turn,
CD82_HUMAN	CD82 molecule(CD82)	Homo sapiens	73.Integrins_and_other_cell-surface_receptors,			GO:0007166~cell surface receptor signaling pathway,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0005515~protein binding,	IPR000301:Tetraspanin,IPR008952:Tetraspanin, EC2 domain,IPR018499:Tetraspanin/Peripherin,IPR018503:Tetraspanin, conserved site,	hsa04115:p53 signaling pathway,	176807~Prostate cancer, susceptibility to,	PIRSF002419:tetraspanin,		Alternative splicing,Complete proteome,Glycoprotein,Membrane,Polymorphism,Proteomics identification,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:CD82 antigen,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
CDCP1_HUMAN	CUB domain containing protein 1(CDCP1)	Homo sapiens					GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005515~protein binding,	IPR000859:CUB domain,					Alternative splicing,Cell membrane,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Membrane,Phosphoprotein,Polymorphism,Reference proteome,Secreted,Signal,Transmembrane,Transmembrane helix,	chain:CUB domain-containing protein 1,disulfide bond,domain:CUB,glycosylation site:N-linked (GlcNAc...),modified residue,mutagenesis site,sequence conflict,sequence variant,signal peptide,site:Cleavage; by ST14/MT-SP1,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
