Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Signal peptide	Topological domain	Subcellular location [CC]	yourlist:M201905316746803381A1F0E0DB47453E0216320D1CCA86Y
P03372	ESR1_HUMAN	reviewed	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595				SUBCELLULAR LOCATION: Isoform 1: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00407, ECO:0000269|PubMed:12682286, ECO:0000269|PubMed:20074560}. Cytoplasm {ECO:0000269|PubMed:12682286, ECO:0000269|PubMed:24498420}. Cell membrane {ECO:0000269|PubMed:12682286}; Peripheral membrane protein {ECO:0000269|PubMed:12682286}; Cytoplasmic side {ECO:0000269|PubMed:12682286}. Note=A minor fraction is associated with the inner membrane.; SUBCELLULAR LOCATION: Isoform 3: Nucleus. Cytoplasm. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell membrane; Single-pass type I membrane protein. Note=Associated with the inner membrane via palmitoylation (Probable). At least a subset exists as a transmembrane protein with a N-terminal extracellular domain. {ECO:0000305}.; SUBCELLULAR LOCATION: Nucleus. Golgi apparatus. Cell membrane. Note=Colocalizes with ZDHHC7 and ZDHHC21 in the Golgi apparatus where most probably palmitoylation occurs. Associated with the plasma membrane when palmitoylated.	P03372-3
O00534	VMA5A_HUMAN	reviewed	von Willebrand factor A domain-containing protein 5A (Breast cancer suppressor candidate 1) (BCSC-1) (Loss of heterozygosity 11 chromosomal region 2 gene A protein)	VWA5A BCSC1 LOH11CR2A	Homo sapiens (Human)	786					O00534
P24821	TENA_HUMAN	reviewed	Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)	TNC HXB	Homo sapiens (Human)	2201		SIGNAL 1 22 {ECO:0000269|PubMed:1707164}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	P24821
P52789	HXK2_HUMAN	reviewed	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Muscle form hexokinase)	HK2	Homo sapiens (Human)	917				SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}. Note=Its hydrophobic N-terminal sequence may be involved in membrane binding. {ECO:0000250}.	P52789
A6NFF2	NP1L6_HUMAN	reviewed	Putative nucleosome assembly protein 1-like 6	NAP1L6	Homo sapiens (Human)	107					A6NFF2
P43490	NAMPT_HUMAN	reviewed	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin)	NAMPT PBEF PBEF1	Homo sapiens (Human)	491				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24130902}. Cytoplasm {ECO:0000250|UniProtKB:Q99KQ4}. Secreted {ECO:0000269|PubMed:21741723}. Note=Under non-inflammatory conditions, visfatin predominantly exhibits a granular pattern within the nucleus. Secreted by endothelial cells upon IL-1beta stimulation. Abundantly secreted in milk, reaching 100-fold higher concentrations compared to maternal serum. {ECO:0000269|PubMed:21741723, ECO:0000269|PubMed:24130902}.	P43490
Q9BY76	ANGL4_HUMAN	reviewed	Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP) [Cleaved into: ANGPTL4 N-terminal chain; ANGPTL4 C-terminal chain]	ANGPTL4 ARP4 HFARP PGAR PP1158 PSEC0166 UNQ171/PRO197	Homo sapiens (Human)	406		SIGNAL 1 25 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10698685, ECO:0000269|PubMed:14583458, ECO:0000269|PubMed:17068295, ECO:0000269|PubMed:19270337, ECO:0000269|PubMed:21398697, ECO:0000269|PubMed:29899519}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17068295, ECO:0000269|PubMed:21398697}. Note=The unprocessed form interacts with the extracellular matrix (PubMed:17068295, PubMed:21398697). This may constitute a dynamic reservoir, a regulatory mechanism of the bioavailability of ANGPTL4 (Probable). {ECO:0000269|PubMed:17068295, ECO:0000269|PubMed:21398697, ECO:0000305|PubMed:17068295}.	Q9BY76
P52823	STC1_HUMAN	reviewed	Stanniocalcin-1 (STC-1)	STC1 STC	Homo sapiens (Human)	247		SIGNAL 1 17 {ECO:0000269|PubMed:15340161}.		SUBCELLULAR LOCATION: Secreted.	P52823
Q13336	UT1_HUMAN	reviewed	Urea transporter 1 (Solute carrier family 14 member 1) (Urea transporter, erythrocyte)	SLC14A1 HUT11 JK RACH1 UT1 UTE	Homo sapiens (Human)	389	TRANSMEM 91 110 Helical. {ECO:0000250}.; TRANSMEM 115 137 Helical. {ECO:0000250}.; TRANSMEM 144 168 Helical. {ECO:0000250}.; TRANSMEM 173 193 Helical. {ECO:0000250}.; TRANSMEM 255 274 Helical. {ECO:0000250}.; TRANSMEM 284 304 Helical. {ECO:0000250}.; TRANSMEM 309 330 Helical. {ECO:0000250}.; TRANSMEM 333 353 Helical. {ECO:0000250}.			SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23219802}; Multi-pass membrane protein {ECO:0000269|PubMed:23219802}. Basolateral cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Restricted to the basolateral membrane in various portions of the urothelium. {ECO:0000250}.	Q13336
Q5T9L3	WLS_HUMAN	reviewed	Protein wntless homolog (Integral membrane protein GPR177) (Protein evenness interrupted homolog) (EVI) (Putative NF-kappa-B-activating protein 373)	WLS C1orf139 GPR177 UNQ85/PRO18667	Homo sapiens (Human)	541	TRANSMEM 233 253 Helical; Name=1. {ECO:0000255}.; TRANSMEM 269 289 Helical; Name=2. {ECO:0000255}.; TRANSMEM 304 324 Helical; Name=3. {ECO:0000255}.; TRANSMEM 332 352 Helical; Name=4. {ECO:0000255}.; TRANSMEM 381 401 Helical; Name=5. {ECO:0000255}.; TRANSMEM 432 452 Helical; Name=6. {ECO:0000255}.; TRANSMEM 472 492 Helical; Name=7. {ECO:0000255}.	SIGNAL 1 42 {ECO:0000255}.	TOPO_DOM 43 232 Lumenal. {ECO:0000255}.; TOPO_DOM 254 268 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 290 303 Lumenal. {ECO:0000255}.; TOPO_DOM 325 331 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 353 380 Lumenal. {ECO:0000255}.; TOPO_DOM 402 431 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 453 471 Lumenal. {ECO:0000255}.; TOPO_DOM 493 541 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:16678095}; Multi-pass membrane protein {ECO:0000269|PubMed:16678095}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:16678095}; Multi-pass membrane protein {ECO:0000269|PubMed:16678095}. Cell membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000269|PubMed:18160347}; Multi-pass membrane protein {ECO:0000255}. Note=Co-localizes with the adaptin AP2A2 at distinct punctae. {ECO:0000269|PubMed:18160347}.	Q5T9L3-2
