index,Acc,PValue,FDR,candidate,S1,S2,S3,C1,C2,C3,mean_s,mean_c,Log2FC,Log10signal,-Log10PValue,Log10signal_Q,transcript_id,gene_id,transcript_mean,Intensity,Mol. weight [kDa],S1_copy_number,S2_copy_number,S3_copy_number,C1_copy_number,C2_copy_number,C3_copy_number,mean_s_cn,mean_c_cn
109,109_ENST00000373020_O43657__TSPAN6,0.8190456699116138,0.8456941465689747,no,1318941.7238032653,1896152.7441230859,1953747.8661172385,1647946.3643417372,1663900.2503920908,1657752.9545691798,1722947.4446811967,1656533.1897676692,-0.056711586411819205,6.5288499621344185,0.08669188134383518,39,ENST00000373020,ENSG00000000003,-0.056711586411819205,4625200000,27.563000000000002,528349,773152,797302,673119,677780,674453,699601,675117
110,110_ENST00000371588_O60762_A0A0S2Z4Y5_DPM1,0.09303883073991605,0.12262126920728594,no,2246437.1855389155,2461545.293723188,2461729.060393561,2263151.620560727,2265413.900880337,2273868.0850885976,2389903.846551888,2267477.8688432206,-0.07586410539995486,6.66814183383054,1.031335756215907,41,ENST00000371588,ENSG00000000419,-0.07586410539995486,11668000000,29.634,1532144,1708872,1710428,1573883,1571155,1575095,1650481,1573377
111,111_ENST00000423670__X6RHX1_SCYL3,0.06683585083546117,0.09095339768778267,low,149297.441419701,159924.52762063468,162664.2172371546,149656.46332030356,148494.42647147574,144469.0672377183,157295.3954258301,147539.9856764992,-0.09237043804606895,5.484065372528929,1.1749905189102339,12,ENST00000423670,ENSG00000000457,-0.09237043804606895,251500000,65.298,15219,16593,16892,15555,15392,14957,16234,15301
112,112_ENST00000002165_Q9BTY2__FUCA2,3.6849046210875444e-05,0.00015830904707448478,high,1084318.3658938517,1169483.9833876677,1193575.8309269398,1500877.8027490305,1539784.1507366293,1487824.7502220788,1149126.0600694865,1509495.5679025797,0.3935294494037949,6.4246565334291414,4.433573748801252,36,ENST00000002165,ENSG00000001036,0.3935294494037949,3421400000,54.066,208219,228589,233493,293876,300671,290170,223433,294905
113,113_ENST00000650454_P48506_Q14TF0_GCLC,0.0018166117320412298,0.0038232177186262213,high,2277699.9333159076,2526907.5239536893,2520896.046263655,2113768.6753091943,2101802.187947534,2085081.2606604726,2441834.5011777505,2100217.374639067,-0.21742676689440132,6.657252090088985,2.740737885378114,41,ENST00000650454,ENSG00000001084,-0.21742676689440132,6631100000,72.765,368679,416330,415687,348870,345948,342777,400232,345865
115,115_ENST00000374807_Q9Y4W2__LAS1L,3.999276778940224e-05,0.00016891211603425071,high,1317719.7271474872,1329093.7353952941,1325520.4591125303,1184438.4370331068,1160989.4413272764,1152783.3083570746,1324111.3072184373,1166070.395572486,-0.1833695162800046,6.396231037714347,4.398018538500419,35,ENST00000374807,ENSG00000001497,-0.1833695162800046,2316200000,81.242,121711,124956,124725,111551,109044,108141,123797,109578
116,116_ENST00000265742_Q9P2G1__ANKIB1,0.12189797265703267,0.15588625621132773,no,248829.069032835,249922.5786221508,276127.5986956415,271056.4061514791,272801.1946048279,367572.561504771,258293.08211687577,303810.054087026,0.2341606100530491,5.749816008406706,0.9140035172789545,18,ENST00000265742,ENSG00000001629,0.2341606100530491,510190000,122.0,14935,15269,16884,16589,16650,22407,15696,18548
117,117_ENST00000003100__A0A0C4DFL7_CYP51A1,0.19355429174001623,0.236285146477207,no,1515683.1853835548,1229939.4172977488,1244193.9747321536,1230305.3131807607,1222184.9432788352,1213070.705530987,1329938.859137819,1221853.6539968608,-0.12228842418595466,6.406845358895509,0.7131971944905054,36,ENST00000003100,ENSG00000001630,-0.12228842418595466,5034800000,57.278,421210,347913,352239,348624,345377,342384,373787,345461
119,119_ENST00000394532_Q92934_A0A024R562_BAD,0.0011824829894677734,0.002669897615983339,high,154236.34457013788,171895.25902120667,175228.76537724878,211134.90923931482,203897.2384756913,201887.54667590046,167120.1229895311,205639.8981303022,0.29923474327247146,5.571429327667743,2.927205098060271,14,ENST00000394532,ENSG00000002330,0.29923474327247146,454270000,18.392,82449,93532,95425,115083,110835,109609,90468,111842
120,120_ENST00000606142_P28838__LAP3,7.913615211452339e-06,4.940778890571604e-05,high,8709373.831840493,8136301.528820329,8175842.587418122,6468491.927905824,6439691.648985564,6429184.458686183,8340505.982692982,6445789.345192525,-0.37177786798074286,7.16985937614732,5.101625070522565,48,ENST00000606142,ENSG00000002549,-0.37177786798074286,55872000000,52.771,5031151,4784141,4811409,3810106,3782786,3772008,4875567,3788300
124,124_ENST00000406869_Q9Y6D9__MAD1L1,0.0008264087388053544,0.0019794368960676873,high,517800.7162750806,521129.5435474068,520152.0457423763,478561.941016725,477252.2796115348,483131.765405515,519694.10185495456,479648.66201125825,-0.11568465300762168,5.999714472133892,3.082805099045457,25,ENST00000406869,ENSG00000002822,-0.11568465300762168,761570000,83.066,38325,39261,39220,36117,35920,36318,38935,36118
125,125_ENST00000435347_Q14847_A0A024R1S8_LASP1,3.895805313168692e-06,2.959264035897013e-05,high,4184014.716329892,3940342.607422619,3910532.8208627896,5330341.164049248,5381753.9802325,5318833.045511413,4011630.0482051,5343642.729931054,0.4136349870248649,6.971056455044174,5.409402754444645,46,ENST00000435347,ENSG00000002834,0.4136349870248649,71739000000,29.717,8710197,8349592,8293352,11314707,11392652,11245723,8451047,11317694
126,126_ENST00000581298__J3QRB9_SNX11,0.018736484860915226,0.02935321696551968,med,124399.25955822026,137668.0401597104,137501.3755277628,120158.59159598673,117388.22622132131,121618.03716081771,133189.55841523115,119721.61832604192,-0.15379729913482118,5.402968022265734,1.7273118834963404,10,ENST00000581298,ENSG00000002919,-0.15379729913482118,220770000,19.977999999999998,43851,49396,49378,43189,42078,43541,47541,42936
128,128_ENST00000000412_P20645__M6PR,6.906082204463968e-06,4.5301416682713404e-05,high,641527.8776726228,648548.8600718247,647248.5805990674,772299.3070247044,760603.7966596433,771528.2161126669,645775.106114505,768143.7732656715,0.25034453727316563,6.150424493443788,5.160768256462584,29,ENST00000000412,ENSG00000003056,0.25034453727316563,2635800000,30.993000000000002,311301,320335,319960,382125,375310,380237,317198,379224
129,129_ENST00000264276_Q96Q42__ALS2,0.2936842087070439,0.3449371725729748,no,778136.9204831602,848273.9865254516,849158.7319998645,850052.0780355552,853250.5180118254,844585.3065648472,825189.8796694921,849295.9675374093,0.04154127228789553,6.223881481224395,0.532119404705554,31,ENST00000264276,ENSG00000003393,0.04154127228789553,1107400000,183.63,22609,25088,25135,25184,25210,24924,24277,25106
131,131_ENST00000309955_O15519_A0A024R3Z7_CFLAR,0.0010557168972458262,0.0024273628201565687,high,56852.37607953405,61507.15478177889,63148.94651610442,50425.15996296999,48548.734196614365,46648.00051212064,60502.82579247245,48540.631557235,-0.3178096458532619,5.037599612856846,2.976452527301929,4,ENST00000309955,ENSG00000003402,-0.3178096458532619,29226000,55.343,2222,2446,2514,2010,1929,1852,2394,1930
132,132_ENST00000392365_P10646__TFPI,0.019776425000884782,0.030748434611174266,med,289032.7590079376,257986.3891789166,267859.9685407899,241074.61784395308,251945.694904126,242794.7023622923,271626.37224254804,245271.67170345713,-0.14724294218582884,5.71340488870655,1.703852213381541,17,ENST00000392365,ENSG00000003436,-0.14724294218582884,182890000,35.015,23563,21408,22246,20040,20886,20103,22405,20343
133,133_ENST00000002125_Q7L592__NDUFAF7,0.0032282159732715276,0.006280432771843251,high,939501.5788786709,1023298.4854642092,1010698.1015969032,891795.1433002091,861957.7118354968,888862.9390316774,991166.0553132611,880871.9313891277,-0.17019449683704532,6.272314657034486,2.491037417920712,32,ENST00000002125,ENSG00000003509,-0.17019449683704532,1834800000,49.236999999999995,150877,167272,165350,146031,140759,144976,161166,143922
134,134_ENST00000347869_P52756_A0A024R2U6_RBM5,0.18410014186598953,0.22601529648960703,no,296924.8207431718,267068.59142482624,275396.4477295662,263692.4581461218,267181.01423271885,271052.5389411461,279796.61996585474,267308.6704399956,-0.06587190070032095,5.738070914344202,0.7349458768322553,18,ENST00000347869,ENSG00000003756,-0.06587190070032095,532190000,92.15299999999999,25286,23150,23892,22898,23137,23444,24109,23159
135,135_ENST00000522656_P52569__SLC7A2,0.025385668909063873,0.03841340664735655,med,46757.665372259675,54533.02333239692,55988.16643912685,61473.18595615028,64437.77402083219,58348.36990707096,52426.28504792781,61419.77662801781,0.22841294611391735,5.0563180114817845,1.5954113885056658,4,ENST00000522656,ENSG00000003989,0.22841294611391735,92673000,71.672,4285,5086,5227,5744,6005,5431,4866,5726
136,136_ENST00000000233_P84085_A4D0Z3_ARF5,0.7424763779230033,0.7772285317267005,no,503024.7400456292,382943.04943685955,384011.7358591537,422932.57379911176,432272.6777320061,436476.7430667684,423326.5084472142,430560.66486596206,0.024445691716230292,5.931400489840509,0.12931735898163815,23,ENST00000000233,ENSG00000004059,0.024445691716230292,2942300000,20.529,681160,527826,529741,583962,595229,600285,579575,593158
137,137_ENST00000585482_Q6SZW1__SARM1,7.465541110654621e-05,0.00027543526568031557,high,753096.172345172,742203.8630479935,737011.4222803131,840552.5851086443,834201.8291254203,834403.6579572731,744103.8192244928,836386.0240637792,0.16866503102845704,6.1987917092752305,4.1269387086550156,30,ENST00000585482,ENSG00000004139,0.16866503102845704,2181600000,79.387,105640,105973,105320,120225,118991,118875,105644,119363
138,138_ENST00000540200_Q9Y2S7__POLDIP2,0.21975616614219812,0.2652070130701501,no,1012923.2112800108,1080513.5821815603,1071439.8741631596,1081027.5671864469,1079637.557427281,1088583.750634439,1054958.8892082435,1083082.9584160557,0.037956970464942605,6.330016201347246,0.6580589302065865,34,ENST00000540200,ENSG00000004142,0.037956970464942605,5565700000,42.033,506094,549517,545358,550738,548528,552399,533656,550555
139,139_ENST00000324093_Q9Y4D7__PLXND1,7.322346453542305e-06,4.706110288443732e-05,high,208442.07955936564,229267.74354506176,235284.38088303458,351849.43569597026,346526.33938919863,347470.07499287074,224331.401329154,348615.2833593465,0.63600423959242,5.758114210758193,5.135349726519489,18,ENST00000324093,ENSG00000004399,0.63600423959242,393590000,212.0,5449,6101,6266,9379,9212,9226,5938,9272
140,140_ENST00000467905__F8W1A4_AK2,2.4285463004071835e-06,2.1333477293183015e-05,high,3109981.4889555066,3059804.120563839,3067909.4536519987,2595791.671888437,2587189.6559490683,2617034.783477873,3079231.6877237814,2600005.37043846,-0.244055819594044,6.754289997034054,5.614653612256966,43,ENST00000467905,ENSG00000004455,-0.244055819594044,20728000000,25.63,3572872,3578078,3590555,3040767,3022416,3053553,3580501,3038912
141,141_ENST00000001008_Q02790__FKBP4,8.342839137705793e-08,2.2629951161026966e-06,high,6577600.665835432,6540852.076182609,6548413.021698494,5103215.967712587,5128346.493664546,5090924.615596057,6555621.921238844,5107495.692324396,-0.36011657089640314,7.066814655173459,7.078686130176244,47,ENST00000001008,ENSG00000004478,-0.36011657089640314,33316000000,51.803999999999995,2926061,2961738,2967640,2314799,2319848,2300111,2951813,2311586
142,142_ENST00000356634_O60341__KDM1A,2.2251019406684875e-05,0.00010691408427065999,high,1141344.8764968342,1175224.0092719328,1157130.767387186,1001318.0899913155,1000464.7418460356,1006729.3145380786,1157899.8843853176,1002837.3821251433,-0.20742283812897572,6.334601962329044,4.6526500874895005,34,ENST00000356634,ENSG00000004487,-0.20742283812897572,3601400000,92.902,165197,173142,170619,147779,147250,147991,169652,147673
143,143_ENST00000443081__E9PGM9_RBM6,0.007662276419488675,0.01335658214764971,med,135865.66151160566,147713.08545717414,148558.62783010173,127932.81670449962,130399.07997452367,123533.99271160262,144045.7915996272,127288.62979687529,-0.178423957148219,5.4335048917133335,2.115642184734406,11,ENST00000443081,ENSG00000004534,-0.178423957148219,77302000,113.93,2741,3034,3054,2632,2676,2532,2943,2613
144,144_ENST00000348335_Q8N5S9__CAMKK1,0.002997754271126383,0.00588627269329267,high,57205.73677916324,58246.44975526577,55288.511206974785,65515.99341109142,77155.36149613615,69275.33525508142,56913.56591380126,70648.89672076966,0.3118944568607827,5.105722894847195,2.523203969575683,5,ENST00000348335,ENSG00000004660,0.3118944568607827,48714000,55.735,3162,3278,3114,3693,4338,3890,3184,3973
145,145_ENST00000444129_P46063_A0A024RAV2_RECQL,0.0002012129414694071,0.0006142732726455778,high,6169351.949750867,6928766.728683744,6933223.39938213,5227877.087517563,5213420.952609072,5198659.498399355,6677114.025938913,5213319.179508664,-0.3570224875378871,7.075197677605078,3.6963440900773294,47,ENST00000444129,ENSG00000004700,-0.3570224875378871,23204000000,73.457,1322247,1511560,1513797,1142489,1136219,1131620,1449201,1136776
146,146_ENST00000544910_Q96JG6__VPS50,0.0003071374680169042,0.000866786197085316,high,1304786.9292071678,1452596.8729696411,1466126.4141270127,1779024.6388370965,1783658.2134100527,1738303.337149299,1407836.7387679406,1766995.396465483,0.3278182411918204,6.5017207675274875,3.5126672002927806,38,ENST00000544910,ENSG00000004766,0.3278182411918204,2940100000,107.92,90328,102358,103398,125579,125563,122221,98694,124454
147,147_ENST00000004982_O14558_V9HWB6_HSPB6,1.979400001910814e-06,1.8503318197706836e-05,high,1107128.9701350448,1150134.5412939356,1106782.5870156,2402751.034890857,2273948.5851287744,2759377.240366029,1121348.6994815266,2478692.28679522,1.1443442068693028,6.556307445215204,5.703466433651767,39,ENST00000004982,ENSG00000004776,1.1443442068693028,19611000000,17.135,2839536,3002578,2891817,6283641,5930563,7187807,2911310,6467337
